"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","891","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","4.200763","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","1","1","8.258261","0","11"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","4.283830","0","2"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","4.572829","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","22","2","1","60.444603","0","241"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","1","1","3.912210","0","13"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","2.236526","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","2.013768","0","3"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","25","3","1","50.260319","0","335"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","1","1","3.920317","0","13"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","1","1","7.628277","0","43"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","2.240268","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","40","1","1","94.540024","0","841"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","20","1","1","38.098846","0","179"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","2.124450","0","3"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","2.140022","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","2","2","1","1.892230","0","3"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","21","40","2","1","80.462219","0","804"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","21","2","2","1","2.214504","0","3"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","70","3","1","154.652008","0","2289"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","70","1","1","146.482437","0","2242"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","70","11","1","173.879745","0","1908"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","40","3","1","115.229874","0","177"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","2.498252","0","2"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","24","2","2","27.616623","0","159"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","4","1","1","4.292606","0","13"
"/ControlRig/M_Manip.M_Manip","21","4","2","1","3.899759","0","11"
